ID,Difficulty,Question,A,B,C,D,E,Type,Group
120, Easy,"Which metric is the measure of emails rejected by a server due to permanent conditions such as ""user unknown"" or ""domain not found""?",Hard Bounce  ,Validation Error ,Soft Bounce ,Unsubscribed , ,CHOICE,Marketing Cloud
121, Easy,"When using a mobile-optimized template, what causes the mobile layout to display?",The email client detection tracking pixel ,A subscriber attribute that dictates a mobile layout preference ,The screen size of the device that is used to view the emai  ,The specific device that is used to view the email , ,CHOICE,Marketing Cloud
122, Easy,Which data model should be used to create a Group?,Active Audiences ,Data Filters ,Lists  ,Data Extensions , ,CHOICE,Marketing Cloud
123, Easy,A marketer sends an email to a sendable data extension. The data extension has a send relationship that matches Customer_ID on the data extension to subscriber Key in All Subscribers. What is a true statement regarding the email send behavior?,The email will be sent to the email address stored in All Subscribers  ,The email will be sent to the email address stored on the Data Extension ,The email will be sent to the field marked as the Primary Key ,The email will be sent to the Subscriber Key in All Subscribers , ,CHOICE,Marketing Cloud
124, Easy,Which is a fundamental component of coding responsive emails?,CSS3 @media Queries  ,Span Tags ,SQL Queries ,Anchor Tags , ,CHOICE,Marketing Cloud
125, Easy,How are the test audiences for an A/B test selected? (Choose 2),The test administrator chooses which subscribers to place in each audience ,The test administrator selects a percentage or a fixed number of target subscribers from the total for each audience ,The system automatically uses 15% of the population for each audience ,The system randomly places target subscribers into the selected audiences , ,CHECKBOX,Marketing Cloud
126, Easy,A client leverages transactional messages to send ad-hoc order confirmations. Which type of message is most suitable in this situation?,Triggered Email  ,Guided Send ,Test Send ,User Initiated Email , ,CHOICE,Marketing Cloud
127, Easy,Which statement regarding editing an email template is true? (Choose 2),Changes to a template cannot be made once it is saved in the application ,A template does not automatically affect emails created from that template ,Updating an email to reflect changes made in its template can be done in the email properties ,Changes to a template are automatically inherited in emails built from that template , ,CHECKBOX,Marketing Cloud
128, Easy,What is a true statement about Subscriber Key? (Choose 3),"Subscriber Key is a unique identifier for a subscriber, and can be populated with an email address or another unique value ",Subscriber Key is mapped to a field in a sendable data extension when defining a Send Relationship ,Subscriber Key and Primary Key are interchangeable terms ,Subscriber Key determines what update types will be available when importing data ,Subscriber Key allows an email address to appear multiple times in a list or All Subscribers when populated with a value other than an email address ,CHECKBOX,Marketing Cloud
129, Easy,"Using measures, what data can a marketer use to segment an audience?",First Name Attributes ,Geographical Data ,Gender Data ,Open Data  , ,CHOICE,Marketing Cloud
130, Easy,A marketer at Northern Trail Outfitters is teaching new associates the essentials of designing emails for the company's subscribers. What is a key component of optimized email design? (Choose 3),Build email templates with HTML Paste ,Ensure the email renders well in mobile apps ,Included personalization and dynamic content ,Include an unsubscribe button ,Segment the email's target audience ,CHECKBOX,Marketing Cloud
131, Easy,"A marketer is using a list-based sending, and wants to segment subscribers who have a value of ""EMEA"" in the Region Attribute. Which tool will produce the audience?",Drag and Drop Segmentation  ,Audience Builder ,Guided Send ,Query Activity , ,CHOICE,Marketing Cloud
132, Easy,"A marketer uses Email Approvals. In which send process must an email have an ""Approved"" status prior to send? (Choose 3)",A/B Tests ,Triggered Sends ,Send Previews ,Test Sends ,Scheduled Sends ,CHECKBOX,Marketing Cloud
133, Easy,How can AMPscript customize email messages?,Provide advanced content personalization  ,Insert responsive content based on the user's viewing device. ,Automate the template creation process. ,Automate the flow of creating email messages. , ,CHOICE,Marketing Cloud
134, Easy,A marketer wants to create an email that will look great on both a desktop computer and a mobile device. However the marketer is not familiar with writing code for responsive design and does not have available resources to design the email. Which template can the marketer choose when creating an email?,Media template ,Mobile-optimized template  ,Responsive Web template ,Standard template , ,CHOICE,Marketing Cloud
135, Easy,What information and data about the performance of an individual send can be exported from the tracking details? (choose 2),Subscribers who click on a specific link ,Performance data on the Overview Tab ,Number of clicks from mobile devices ,Images showing how the email rendered on different devices , ,CHECKBOX,Marketing Cloud
136, Easy,Which feature would a marketer use to build a Send Classification? (Choose 2),Sender Profile ,Custom Profile Center ,Delivery Profile ,Reply Mail Profile , ,CHECKBOX,Marketing Cloud
137, Easy,What can a marketer do to enhance a Welcome Series campaign? (Choose 2),Require that the subscriber refer a friend ,Send three emails on the first day after sign-up ,Share the email program's value proposition ,Personalize email content , ,CHECKBOX,Marketing Cloud
138, Easy,"If all subscribers reside within a single master data extension, what is the optimal way to manage unsubscribes by communication type?","Create publications lists for each communication type, and associate the publication list with the email send in the user-initiated send definition  ","Create a profile attribute or data extension field for each communication type, and use a boolean value to capture subscriber status ","Create suppression lists for each communication type, and associate the suppression list with the email in the user-initiated send definition ","Create separate lists or data extensions for each communication type, and create a filter to segment subscribers into the applicable lists or data extensions ", ,CHOICE,Marketing Cloud
139, Easy,A marketer wants to use personalization strings to create individualized content for an upcoming send. What would the marketer need to know to understand how to use personalization strings? (Choose 3),Personalization strings are case sensitive ,Personalization strings can appear in the subject line or body of the email ,Personalization strings are limited to profile attributes ,Personalization strings are noted by two sets of double percent symbols ,"When using subscriber data, the attribute or field should have a default value ",CHECKBOX,Marketing Cloud
140, Easy,Northern Train Outfitters wants the From Name on the monthly Newsletter to come from a specific User who is set up in the Marketing Cloud. Which feature would be used to set up this From Name selection?,Content information ,Can-SPAM classification ,Sender Profile  ,Delivery Profile , ,CHOICE,Marketing Cloud
141, Easy,Which strategy will improve email deliverability? (Choose 3),Purge old or inactive email addresses ,Purchase lists from companies that guarantee users have opted in ,Authenticate email to distinguish it from spammers ,Encourage subscribers to add the company's sending domain to their address books ,Ensure the spam complaint rate is between 1% and 3% ,CHECKBOX,Marketing Cloud
142, Easy,A marketer is using an import activity on a nightly basis to import subscriber data into a data extension. What is a true statement about the import activity? (Choose 3),The import activity is under Subscribers in the Email Application ,An import activity can be used in an automation created in Automation Studio ,The file for an import activity must be placed in a folder on a FTP site ,The file for an import activity can be on a desktop computer ,An import activity can be executed manually ,CHECKBOX,Marketing Cloud
143, Easy,A marketing associate at Northern Trail Outfitters must design an email campaign for the company's new winter offerings. Which email design best practice would the associate implement in this campaign?,Segment the audience for the email ,Limit the email text to 250 words ,Use an infographic email template ,Personalize the email content  , ,CHOICE,Marketing Cloud
144, Easy,"Northern Train Outfitters needs to ensure that ""Valued Customer"" appears if no data exists in that field for a subscriber when using a personalization string to display the First_Name field in a data extension. How can the Marketer most easily achieve this during creation of the data extension?",Mark First_Name as the Primary Key ,"Fill in the source data with ""Valued Customer"" for each blank First_Name field ",Ensure the Nullable box is not checked for the First_Name field ,"Make ""Valued Customer"" the Default Value for the First_Name field  ", ,CHOICE,Marketing Cloud
145, Easy,What is a true statement about the Master Unsubscribe? (Choose 3),Subscribers can be manually unsubscribed in Subscriber Properties ,Subscribers can contact the Salesforce Marketing Cloud to unsubscribe ,Subscribers can Master unsubscribe themselves via the Subscription Center ,Subscribers can be Master unsubscribed via an import to All Subscribers ,Subscribers can log in to the Salesforce Marketing Cloud to unsubscribe ,CHECKBOX,Marketing Cloud
146, Hard,"A marketer wants to ensure that customers on a list want to be email subscribers. Additionally, the marketer wants to minimize the number of invalid email addresses on the list, and add a level of security when using Web Collect functionality. What is the optimal way to accomplish this task?","Send a welcome email to subscribers within 24 hours that includes a link to the website, a link to the terms and conditions page, and a customer service number ","Add new subscribers to an automated engagement campaign, and then send a series of welcome emails based on their opens and clicks ",Create a double opt-in campaign that requires subscribers to confirm their email address by clicking a link in an email they receive after subscribing via Web Collect ,Configure Web Collect to return an error message for any email address that does not conform to standard conventions  , ,CHOICE,Marketing Cloud
147, Easy,"An account has a Subscriber Key enabled, and will be providing a unique key for each subscriber from an external system. A marketer wants to create a data extension for sending email campaigns. What steps would the marketer take when creating the data extension? (Choose 2)",Relate the Email address to the Suscriber Key ,Set the Email address column as a Primary Key ,"Check the ""Is Sendable"" option ",Set the column representing the Subscriber Key as a Primary Key , ,CHECKBOX,Marketing Cloud
148, Easy,Which send process can use Sender Profiles? (Choose 4),Test Sends ,Simple Automated Sends ,Triggered Sends ,User-Initiated Sends ,Guided Sends ,CHECKBOX,Marketing Cloud
149, Easy,Northern Train Outfitters wants to maintain enterprise-wide opt-outs for two segments of its subscribers: Education Events and Sales. Which feature would the company use?,Shared Data Extensions ,Shared Publication Lists  ,Shared Portfolio Items ,Shared Emails , ,CHOICE,Marketing Cloud
150, Easy,A marketer sends an email to a sendable data extension that contains a Customer_ID field with a numeric data type that relates to the Subscriber Key in All Subscribers as a Send Relationship. What is a true statement about the email send behavior for any subscriber who currently does NOT exist in All Subscribers? (Choose 2),The email send will fail ,The email address and Subscriber Key will be added to All Subscribers ,The subscriber will be added to All Subscribers with a status of Active ,The Primary Key and demographic data will be added to All Subscribers , ,CHECKBOX,Marketing Cloud
151, Easy,A marketer at Northern Trail Outfitters sends a promotional offer every week to a data extension that contains all new subscribers from the previous week. What would the marketer create to automate the send and save time?,A Simple Send Email ,A Transactional Send Classification ,A User initiated Email  ,A recurring Send Schedule via Guided Send , ,CHOICE,Marketing Cloud
152, Easy,"As part of a weekly email automation, a client needs to segment data in a Data Extension. Which activity is designed to address this scenario?",Query Activity  ,File Transfer Activity ,Import Activity ,Group Refresh , ,CHOICE,Marketing Cloud
153, Easy,"Northern Train Outfitters has a Master Customer List in a shared data extension. The company wants to make the list available to some, but not all, of the business units. Which feature can be used to restrict users from a business unit from accessing the Master Customer list?",User Roles and Permissions ,Date/ Time Range fro Access ,Business Unit Access Permissions  ,Shared Data Extension , ,CHOICE,Marketing Cloud
154, Easy,A marketing associate wants to use the Validate button to ensure an email is CAN-SPAM compliant. What information does the associate need to provide in order for the email to pass validation? (Choose 2),Company Website URL ,Terms and Conditions Policy ,Profile Center URL ,Physical Mailing Address , ,CHECKBOX,Marketing Cloud
155, Easy,"What occurs in an Enterprise 2.0 account when a subscriber clicks the default ""One-Click Unsubscribe"" link in an email? (Choose 2)",The subscriber is unsubscribed from the publication list applied to the send ,The subscriber is deleted completely from the sending account ,The subscriber is added to the enterprise global unsubscribe list ,The subscriber is removed from the List used for the Send , ,CHECKBOX,Marketing Cloud
156, Easy,What is a purpose of marking an attribute as hidden?,The attribute is not available to store data ,The attribute is not available to other users in the account ,The attribute is not available to subscribers on the Profile Center  ,The attribute is not available for CAN-SPAM compliance , ,CHOICE,Marketing Cloud
157, Easy,"Which actions are taken when a subscriber selects the ""one-click unsubscribe"" link at the footer of an email sent from a list?",The subscriber is automatically unsubscribed from the list from which the send originated  ,The subscriber is automatically unsubscribed from the business unit from which the send originated ,The subscriber is automatically redirected to the subscription center to unsubscribe from publications ,The subscriber is automatically unsubscribed from All Subscribers at the enterprise level , ,CHOICE,Marketing Cloud
158, Easy,A marketer wants to ensure that emails follow the basic brand guidelines. Which feature helps ensure emails have the correct layout and logos?,Data Extensions ,Email templates  ,Portfolio ,Preference Management , ,CHOICE,Marketing Cloud
159, Easy,What is a triggered automation?,An automation that triggers an email to be sent based on a user Initiated Email definition ,An automation that is initiated when a file is dropped into a designated Enhanced FTP Folder  ,An automation that is triggered based on a schedule that has been defined ,An automation that is initiated when a designated value in a data extension is changed , ,CHOICE,Marketing Cloud
160, Easy,"Which method of storing subscriber information allows a company to do extensive external audience segmentation including additional 1:1 subscriber data the company wants for a send, and to import the data quickly?",Active Audiences ,Data Extensions  ,Lists and Data Extensions ,Lists , ,CHOICE,Marketing Cloud
161, Easy,"A marketer is building a highly personalized email. The marketer wants to merge some data into a single data extension to greatly simplify the send logic, maintain the personalization, and exclude an undesired population. Which tool addresses this scenario?",Profile management ,File triggers ,Query activities  ,Data filters , ,CHOICE,Marketing Cloud
162, Easy,Northern Train Outfitters wants to identify subscribers with something other than an email address. What value can be used to accommodate this?,Subscriber Key  ,Subscriber Attributes ,System Preferences ,Primary Key , ,CHOICE,Marketing Cloud
163, Easy,A marketing associate at Northern Trail Outfitters must create an email campaign for the company's new winter offerings. Which method could the associate use to create the email message? (Choose 2),Email Send Wizard ,HTML Paste ,Email templates ,User-initiated email message , ,CHECKBOX,Marketing Cloud
164, Easy,"A marketer creates a new sendable data extension, and defines the Customer_ID field as the field in the Send Relationship that relates to Subscribers on Subscriber Key. What will the send status in All Subscribers be associated with?",The Email_Address field in the Data Extension ,The Email Address Profile Attribute ,The Subscriber ID in a System Data View Table ,The Customer_ID field in the Data Extension  , ,CHOICE,Marketing Cloud
165, Easy,"The marketing team would like to refresh a filtered data extension on a recurring basis, by using a data filter named ""Pref1-Tech"" How can this process be automated?","Set a refresh schedule on a new filtered data extension, and select the Pref1-Tech data filter ","Create a filtered Data Extension Activity that selects the Pref1-Tech Data Filter, and then add the Filtered Data Extension Activity to an Automation ","Create a Filter Activity that selects the Pref1-Tech Data Filter, and then add the Filter Activity to an Automation  ",Add the Pref1-Tech Data Filter to an Automation , ,CHOICE,Marketing Cloud
166, Easy,Which method of storing subscriber information allows a marketer to easily create different subscriptions that subscribers can opt into from the default Subscription Center?,Data Extensions ,Active Audiences ,Lists  ,Lists and Data Extensions , ,CHOICE,Marketing Cloud
167, Hard,Which feature can a marketer use to individualize content in an email? (Choose 3),Dynamic content ,Personalization string ,Specialized content ,Predictive content ,Audience Segmentation ,CHECKBOX,Marketing Cloud
168, Easy,"A national landscape company wants to send targeted emails to customers to remind them of their upcoming lawn treatment. Depending on the service, clients will receive either one or two emails. The data for the campaign is in two separate data extensions. Customer Number is a Primary Key field in both data extensions. Which tool can be used to segment the data? (Choose 2)",Send Definition ,Data Extract Activity ,Drag & Drop Segmentation ,Query Activity , ,CHECKBOX,Marketing Cloud
169, Easy,A marketer needs to create an attribute named Gender that has a drop-down menu with appropriate values in the Profile Center. How can this be accomplished? (Choose 2),Select the data type as Text ,Set a custom maximum length of six ,Select the attribute as required ,Create restricted values , ,CHECKBOX,Marketing Cloud
170, Easy,A local restaurant chain wants to send an email to customers seven days prior to their birthday. The restaurant has one non-technical marketer who has limited experience with the Marketing Cloud. The owner wants the birthday email campaign to start tomorrow. Which tool can the non-technical marketer use most easily to segment and send the birthday email?,User-initiated email ,Playbooks  ,Query activity ,Publication Lists , ,CHOICE,Marketing Cloud
171, Easy,"A bank wants to send a series of emails to customers who open a new savings account. The first email is sent immediately after the account is opened to confirm the action. The second email is sent one day after the account is opened. The third email is sent five days after the account is opened only if the customer has not made a new deposit. The final email is sent ten days after the account has been opened and the customer still has not made a deposit, or eight days after the customer opened the account and made a deposit, but has not opened any emails. The data is stored in two data extensions. The bank has two versions of each email: English and Spanish. The bank wants to automate sending the emails. Which process could the bank use? (Choose 2)",Use Query activities ,"Create a data relationship and a measure, use drag and drop segmentation to create data filters, and use filter activities ",Use drag and drop segmentation to create data filters ,"Use drag and drop segmentation to create data filters, and then use filter activities ", ,CHECKBOX,Marketing Cloud
172, Easy,Which file type delimiter is available in the Import Wizard? (Choose 3),Other ,Pipe  ,Tab ,Comma ,Fixed Length ,CHECKBOX,Marketing Cloud
173, Easy,Northern Train Outfitters wants to display different content areas based on the subscriber data. What can be used to accomplish this? (Choose 2),Personalization Strings ,Profile Mapping ,Dynamic Content ,AMPscript , ,CHECKBOX,Marketing Cloud
174, Easy,What is a function of the Content Detective tool?,It helps display content in a content box ,It helps guarantee placement of emails into the inbox ,It helps track customer traffic generated by content areas within a email ,It helps identify spam triggers in email content and subject lines  , ,CHOICE,Marketing Cloud
175, Easy,Which type of data can a subscriber easily update via the Profile Center? (Choose 2),List Attributes ,Email Address ,Order History ,Data Extension Fields , ,CHECKBOX,Marketing Cloud
176, Easy,What is a Master Unsubscribe?,When a subscriber unsubscribes from a Publication list via an email unsubscribe link ,When a subscriber unsubscribes from all emails sent from an account  ,When a subscriber unsubscribes from a list in the Subscription Center ,When a subscriber unsubscribes from all emails sent from the Salesforce Marketing Cloud , ,CHOICE,Marketing Cloud
177, Hard,How is Primary Key used?,Primary Key prevents data from being overwritten in a data extension  ,Primary Key identifies a row or a field in a data extension as unique ,Primary Key is the unique value to identify a subscriber ,Primary Key is used when defining a Send Relationship , ,CHOICE,Marketing Cloud
178, Easy,What is an Automation Studio activity? (Choose 3),Transfer File Activity ,Wait Activity ,A/B Test Send Activity ,Send Email ,Triggered Send ,CHECKBOX,Marketing Cloud
179, Easy,"A marketing team needs to narrow down a customer population of several million subscribers based on eCommerce order details, and rapidly explore the data to find appropriate segments. How can segmentation with this scenario be accomplished?",Audience Builder  ,Drag and Drop Segmentation ,Data Extract Activity ,Profile Attributes , ,CHOICE,Marketing Cloud
180, Easy,A marketer wants to run an Account Send Summary report. Which option can be configured when running this report? (Choose 3),Error handling parameters ,Error report log location ,Date range parameters ,Report results delivery location ,Report results file format ,CHECKBOX,Marketing Cloud
181, Easy,A marketer is designing email for mobile devices. Which design best practice would the marketer use? (Choose 3),Design a top-down hierarchy with the most important content at the top ,Stack the content in a single column ,Keep copy simple and direct ,Use image-based text for hero graphics ,Cut content to make the message fit above the fold ,CHECKBOX,Marketing Cloud
182, Easy,What must be configured in a Marketing Cloud account to use the import wizard?,Data Loader ,Enhanced FTP  ,Encrypted FTP ,File Transfer , ,CHOICE,Marketing Cloud
183, Easy,A marketer wants to grow the company's email subscriber list via social channels and its mobile app. Which best practice can the marketer use to grow the subscriber list? (Choose 2),Search Facebook fans' profiles for mail addresses ,Promote content on social channels that requests an email address ,Provide and opt-in checkbox on the mobile app registration form ,Send unsolicited requests on Twitter to sign up for email , ,CHECKBOX,Marketing Cloud
184, Easy,What is the timeline for which an unsubscribe request must be honored and processed as outlined by the CAN-SPAM Act?,24 hours ,30 calendar days ,10 business days  ,5 business days , ,CHOICE,Marketing Cloud
185, Easy,What can be used to join two data extensions to segment via Drag and Drop Segmentation?,Send Relationship ,Data Relationship  ,Subscriber ID ,Subscriber Key , ,CHOICE,Marketing Cloud
186, Easy,A marketer would like to install the Salesforce Marketing Cloud Connector. Where can an installation guide be found?,Help and Training Portal ,AppExchange  ,Code.exacttarget.com ,Help.exacttarget.com , ,CHOICE,Marketing Cloud
187, Easy,A marketing team is creating a new data extension. The data extension schema is very similar to a data extension that already exists. How would the team create the new data extension?,Create new ,Create from existing  ,Create a filtered data extension ,Create from template , ,CHOICE,Marketing Cloud
188, Easy,"Northern Train Outfitters sends email order confirmations to customers who have made online purchases. These emails must follow the ""Transactional"" CAN-SPAM classification requirements. Which feature would a marketer use to classify a send under this CAN-SPAM classification?",Send Classification  ,Send Definition ,Delivery Profile ,Sender Profile , ,CHOICE,Marketing Cloud
189, Easy,Which segmentation activity can be used to refresh data on a recurring schedule via an Automation? (Choose 2),Filter activity ,Segment activity ,SQL Query activity ,Data Extract activity , ,CHECKBOX,Marketing Cloud
190, Easy,Which action will the Validate tool complete when initiated?,Ensure subscribers have not unsubscribed or are undeliverable ,Confirm that each content area specified in the dynamic content rules exists  ,Ensure subscribers status at the time of send is Subscribed or Bounced   ,"Identify phrases like ""click here"" or ""Free!"" that could be marked as spam ", ,CHECKBOX,Marketing Cloud
191, Easy,"A consultant has a data extension that contains all current product information. The customer wants to refresh data each morning by importing a CSV containing today's product catalog. The product catalog is never the same, products can be added and removed Which import type should be used?  ",Overwrite  ,Add Only ,Add/Update ,Update Only , ,CHECKBOX,Marketing Cloud
192, Easy,"An online retail customer needs daily promotional email content to generate with minimal time spent on creation. Their service contract includes building a custom dynamic template for this purpose. The customer has communicated the following: The email content will highlight new inventory each dayA small team will run both their digital marketing operations and their email programsA user needs to build, test, and send a daily email in less than an hourImages for the emails will be hosted on their website CMS  Which question is relevant to identify strategies for designing the custom template for the customer's daily promotional email? Choose 3:",How often will the layout of the content in a content area change? ,What is the maximum file size of the images being used? ,What From Name will be used for these emails? ,Will image URL’s be available publicly? ,How often will email content be image-only with text overlaying images? ,CHECKBOX,Marketing Cloud
193, Easy,"A retail company's database of record resides at a 3rdparty company that also keeps track of purchase history.  That database only updates once a day where new records can be created and mergedThe database uses an ""Email ID"", which is a numeric field that represents both the business unit and email address.  The company now wants to be able to send real-time Welcome emails to people (newly registered website users) who provide their email address in exchange for getting 10% off their first order, and ensure their send is connected to the ""Email ID"" in the database.  What key issue should be addressed? Choose 3:",How will Marketing Cloud and the database sync up? ,Will new users have an “Email ID”? ,What will be used as the Subscriber Key? ,What publication lists will be used? ,Will the company need a custom preference center? ,CHECKBOX,Marketing Cloud
194, Easy,A retail company needs to create journeys that will target subscribers based on website behavior. They have identified 3 separate groups: Customers who searched for an item on their websiteCustomers who abandoned a cart on their websiteCustomers who made a purchase on their website What should the consultant ask in order to design the data structure for this solution?  Choose 3:,Should customers exit the journey when the goal is met? ,How are subscribers identified in your web analytics? ,How many messages should be included in each journey? ,How long after the behavior occurs will a subscriber need to enter a journey? ,Should a single customer exist in multiple journeys at the same time? ,CHECKBOX,Marketing Cloud
195, Easy,"As part of their brand guidelines, NTO uses a custom brand font for all print marketing materials. NTO wants to use their custom brand font in email as well.  What is recommended best practice for font usage in email?",Use a web-safe font for text that closely matches the brand’s custom font  ,"Build an email as one image, with all text saved in the brand font. ",Edit an email’s HTML to list the custom brand font in the style tag’s font-family property ,"Build an email using multiple images, with all text saved in the brand font ", ,CHOICE,Marketing Cloud
196, Easy,Northern Trail Outfitters is noticing a gradual decline in the percentage of conversations per emails sent in their digital marketing campaign. A new initiative is being adopted to reverse the trend. What question should be asked to determine a data/segmentation strategy? Choose 2:,Increase volume of emails to a wider audience ,Increase the use of dynamic content in emails ,Adopt a Cart Abandonment Email Campaign ,Introduce more identity verification steps in check out process , ,CHECKBOX,Marketing Cloud
197, Easy,"A retail company does business in both the United States and Canada. They also have a loyalty program in which a customer can enroll. The company will provide a pre-segmented customer file, per campaign, which has a ""Version"" data field indicating the type of email the customer is to receive. What questions should be asked to determine a data/segmentation strategy? Choose 2:",Will customers be able to sign up for the loyalty program at the store? ,Is the purpose of these emails for acquisition or retention or transactional? ,"Will multiple languages be used, with a “From Name” lookup table needed? ",Will version values/meanings change. Precluding reusable AMPscript? , ,CHECKBOX,Marketing Cloud
198, Easy,A customer is interested in designing a solution to ensure that subscribers only receive categories of emails that they want to receive. The built-in subscription center will be used as part of the solution. Which feature should be utilized to make this happen? ,Publication lists  ,Subscriber Keys ,Profile Center ,Send Logging , ,CHOICE,Marketing Cloud
199, Easy,"A financial services customer states that families often share email addresses across multiple checking, savings, loan and credit accounts. The customer needs to allow individual accounts to use the same email address in Marketing Cloud but maintain separate subscriber attributes.  Which component should be discussed with the customer to allow for this use case?",Subscriber Key  ,Contact ID ,Member Record ,Data Extensions , ,CHOICE,Marketing Cloud
200, Easy,"A customer team wants to retarget subscribers who click on links of key items promoted across email campaigns. The customer has indicated the following. Emails will be built using a custom dynamic template for these messagesLinks will vary over time and across campaignsClick activity will be cross-referenced with subscribers' regional markets on a master subscriber data extensionRetargeting messages will dynamically populate content based on regional market. In order for this solution to be viable, which skill set does the customer team need to posses?",AMPscript  ,SSJS ,SQL ,HTML , ,CHOICE,Marketing Cloud
201, Easy,"During discovery, the customer outlines data requirements and the anticipated use of Marketing Cloud with the following criteria: Customer data will be fully refreshed every night via Import activity from the customer's data warehouseContact records will be augmented by relational data tables via Contact BuilderThe customer data file will contain 5M records with 40+ attributesOne attribute will house HTML code, 1000 characters max, that will be used to populate Account Access content areas in emails.A customer ID will be used as the unique identifier for each contact Which statement differentiates the use of data extensions over lists?",Data extensions allow for add/update Import activity ,Data extensions can store HTML code as an attribute ,Data extensions support Customer ID to be used as Subscriber Key ,Data extensions are necessary for Contact Builder  , ,CHOICE,Marketing Cloud
202, Easy,A publishing company has presented the following: A need to send renewal reminders to customers whose subscriptions expire in 15 days and 7 daysA campaign needs to be created and managed by a general marketing user who will not have administrative rights and who is not technicalThe customer's expiration data is included in the data file What component should the customer's solution include? Choose 3:,Suppression List ,Data Filter ,Triggered Sends ,Template-based emails ,Automation Studio ,CHECKBOX,Marketing Cloud
203, Easy,NTO wants to better understand subscriber behavior on their website upon arrival via an email message. A local member of Marketing Cloud user group mentioned the Web Analytics Connector.  Which benefit is offered by installing the Web Analytics Connector in a Marketing Cloud account? Choose 3:,Use the web analytics platform to trigger behavioral marketing emails ,Track web activity from a click on an email URL back to a specific email campaign ,Pass web conversation data back into Marketing Cloud for use in email reporting ,Recognize web traffic as originating from email instead of another channel ,Match subscribers to web activity by passing Subscriber ID through email links ,CHECKBOX,Marketing Cloud
204, Easy,An Analyst from NTO marketing needs to pull email metrics for an upcoming quarterly company meeting. These metrics need to be reported per email campaign for each of NTO's Business Units/ Number of SendsDelivery RateOverall Bounce RateBlock Bounce RateOpen RateClick RateComplaint RateUnsubscribe Rate Which email report should NTO's Marketing Analyst pull from Marketing Cloud to get this information?,Campaign Email Tracking Report ,Email Performance Over Time Report  ,Email Send Report ,Option 4 , ,CHOICE,Marketing Cloud
205, Easy,"A customer wants to integrate their website with Marketing Cloud so that users can update their marketing communication preferences. The customer has in-house web development resources available and is interested in leveraging tools such as Journey Builder in the future.  What solution should the consultant propose, given the customer's requirements and available resources?",Configure a relational data structure using Data Extensions and consult with the customer on API integration with their website  ,Configure a data structure using Lists and leverage a SmartCapture form that the client can iFrame into their website ,Configure a relational data structure using Data Extensions and leverage a SmartCapture form that is hosted in Landing Pages. ,Configure a data structure using Lists and leverage the out-of-the-box Preference Center , ,CHOICE,Marketing Cloud
206, Easy,NTO wants its monthly distributor newsletter email to appear to be sent on behalf fo the subscriber's account representatives without segmenting the audience by sales representative. How should this distributor-specific sender profile be configured in Marketing Cloud? Choose 2 ​​​,Pick “Choose from list” selecting the from name and from email values from the list of account users ,Utilize data extension AMPscript lookups to dynamically populate the from name and from email values ,Match the external keys of the sender profile and data extension containing account representative details ,Populate substitution strings in the sender profile for the profile attributes containing from name and from email values , ,CHECKBOX,Marketing Cloud
207, Easy,A large retail company has selected Marketing Cloud and has asked to be fully migrated from their existing platform in three weeks. They have communicated the following: They currently have 3 million customersThey email customers twice a week with no known deliverability issuesTheir contract includes one Sender Authentication Package What response articulates proper IP warning? Choose 2,IP ramp-up takes four to six weeks to be able to fully send to all 3 million customers ,IP ramp-up can be accelerated by migrating to pre-warmed IP addresses ,IP ramp-up is important to establish a positive sender reputation ,"IP ramp-up can be bypassed, given their historical lack of deliverability issues ", ,CHECKBOX,Marketing Cloud
208, Easy,A consultant is configuring Marketing Cloud Connect in Marketing Cloud. The customer requires that integrated users only have access to Sales Cloud data visible to them in their Salesforce account How would the consultant ensure that this requirement is met? ​​​​,Check the Scope by User box in Marketing Cloud  ,Create a User in Sales Cloud with a System Administrator profile ,Ensure that the User has the correct profile in Marketing Cloud ,Ensure that the user is assigned as System Administrator in Sales Cloud , ,CHOICE,Marketing Cloud
209, Easy,A user in Marketing Cloud needs to send an email to a Salesforce Report via a Guided Send process.  How should the consultant meet this requirement? ​​​​​​,Create a Salesforce Data Extension for the user to select during a Guided Send ,Assign the integrated user the Marketing Cloud AppExchange User permission set in Sales Cloud  ,Create data validation rules for the integrated user in Sales Cloud ,Add customer links to the page layouts in Marketing Cloud , ,CHOICE,Marketing Cloud
210, Easy,A customer wants to send an email from Sales Cloud on behalf of the record owner How should the consultant meet this requirement? Choose 2:,Use the Organization-Wide Email Address ,Use a custom Delivery Profile ,Use a custom Send Classification ,Use the Send From Records Owner option , ,CHECKBOX,Marketing Cloud
211, Easy,A customer wants to perform an email send to a subset of a Synchronized Data filtered on custom object data and return tracking to the Sales Cloud. What approach should the consultant recommend? Choose 2,Use Data Stream to sync Sales Cloud objects to the Marketing Cloud ,Use Data Filters or Query Activities to output a Sendable Salesforce Data Extension ,Use Query Activities to create a Sendable Synchronized Data Extension ,Use Data Filters to segment data to output a Sendable Data Extension , ,CHECKBOX,Marketing Cloud
